iter	Passed	Remaining
0	1	109
1	2	102
2	3	100
3	3	92
4	4	92
5	5	92
6	7	97
7	8	99
8	9	98
9	10	97
10	11	95
11	12	93
12	13	92
13	14	91
14	15	90
15	16	88
16	17	87
17	18	86
18	19	84
19	21	84
20	22	83
21	23	82
22	24	81
23	25	81
24	26	79
25	27	79
26	28	78
27	29	77
28	30	75
29	31	74
30	32	72
31	33	71
32	34	70
33	36	69
34	37	69
35	38	68
36	39	66
37	40	65
38	41	64
39	42	63
40	43	62
41	43	60
42	44	59
43	45	58
44	46	56
45	47	55
46	48	54
47	49	53
48	50	52
49	52	52
50	54	52
51	55	51
52	57	50
53	58	49
54	58	48
55	59	46
56	60	45
57	61	44
58	62	43
59	63	42
60	64	41
61	65	40
62	66	39
63	67	38
64	68	37
65	69	35
66	70	34
67	71	33
68	72	32
69	73	31
70	74	30
71	75	29
72	76	28
73	77	27
74	78	26
75	80	25
76	81	24
77	82	23
78	84	22
79	85	21
80	86	20
81	87	19
82	88	18
83	89	17
84	90	15
85	91	14
86	92	13
87	93	12
88	94	11
89	96	10
90	97	9
91	98	8
92	99	7
93	100	6
94	101	5
95	102	4
96	103	3
97	104	2
98	105	1
99	106	0
